experiment,split,accuracy,precision_macro,recall_macro,f1_macro
baseline_lightgbm,Train,0.9725358559658224,0.9833797985360593,0.882722144505205,0.9253852552581727
baseline_lightgbm,Test,0.9060975609756098,0.8462087563451777,0.6267513611615245,0.6714042601912038
robust_clipping,Train,0.9713152273420812,0.9842861919090605,0.8763157894736842,0.9214470924729077
robust_clipping,Test,0.9024390243902439,0.8253403655096283,0.615535390199637,0.6561196032794447
anomaly_flags,Train,0.9688739700945987,0.9813641021974355,0.8669326708209945,0.9140744054045717
anomaly_flags,Test,0.901219512195122,0.820464135021097,0.6102722323049001,0.6492673267326732
rolling_features,Train,0.9777235276167227,0.9877104377104378,0.9039473684210526,0.9406492138075719
rolling_features,Test,0.9146341463414634,0.8780504642573608,0.6590199637023594,0.7116389357768669
clip_anomaly_flags,Train,0.9703997558742753,0.9838009352037408,0.8723684210526316,0.9186147645013112
clip_anomaly_flags,Test,0.9073170731707317,0.8588658571486978,0.6274410163339383,0.6733136231154725
rolling_clip_anomaly_flags,Train,0.9823008849557522,0.9901861252115058,0.9236842105263158,0.9537338879444143
rolling_clip_anomaly_flags,Test,0.9158536585365854,0.8897392290249433,0.6597096188747731,0.7137783983124155
exclude_expert_review_candidates,Train,0.9832661915091416,0.9907723855092276,0.923943661971831,0.9541846852152551
exclude_expert_review_candidates,Test,0.9158536585365854,0.8655588199289999,0.6734301270417422,0.7252210906653845
segment_threshold_policy,Train,0.9789441562404638,0.9883681726230613,0.9092105263157895,0.9441879993572486
segment_threshold_policy,Test,0.9073170731707317,0.7811185682326622,0.7280580762250454,0.7506202480992397
